season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2012/13,Serie B,U.S. Sassuolo Calcio,1,85,42,25,10,7,78,40,38,champion|promoted,Campione Serie B 2012/13; promosso direttamente in Serie A per la prima volta nella sua storia.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Hellas Verona F.C.,2,82,42,23,13,6,67,32,35,promoted,Promosso direttamente in Serie A.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,A.S. Livorno Calcio,3,80,42,23,11,8,77,47,30,playoff|playoff_winner|promoted,Partecipa ai playoff promozione e li vince: supera Brescia in semifinale per miglior piazzamento dopo doppio 1-1 e batte Empoli in finale; promosso in Serie A.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Empoli F.C.,4,73,42,20,13,9,69,51,18,playoff|playoff_eliminated,Partecipa ai playoff promozione; supera Novara in semifinale e perde la finale contro Livorno.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Novara Calcio,5,64,42,19,10,13,73,46,27,playoff|playoff_eliminated|points_deduction,"Punti sportivi teorici 67; punti ufficiali 64 dopo penalizzazione finale di 3 punti, con sanzioni ridotte durante la stagione; eliminato dall’Empoli in semifinale playoff.",RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Brescia Calcio,6,62,42,15,17,10,58,50,8,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminato dal Livorno in semifinale per peggior piazzamento dopo doppio 1-1.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,A.S. Varese 1910,7,60,42,16,13,13,55,53,2,points_deduction,Punti sportivi teorici 61; punti ufficiali 60 dopo penalizzazione finale di 1 punto.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Modena F.C.,8,55,42,15,12,15,52,51,1,points_deduction,Punti sportivi teorici 57; punti ufficiali 55 dopo penalizzazione finale di 2 punti.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Ternana Calcio,9,53,42,12,17,13,37,38,-1,none,,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,A.S. Bari,10,53,42,16,12,14,55,47,8,points_deduction,Punti sportivi teorici 60; punti ufficiali 53 dopo penalizzazione finale di 7 punti: 5 per calcioscommesse e 2 per irregolarità amministrative/ritardi nei pagamenti.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Calcio Padova,11,53,42,12,17,13,47,51,-4,none,Penalizzazione iniziale di 2 punti annullata dal TNAS; punti finali senza detrazione.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,F.C. Crotone,12,53,42,14,13,15,45,56,-11,points_deduction,Punti sportivi teorici 55; punti ufficiali 53 dopo penalizzazione finale di 2 punti per irregolarità amministrative.,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
2012/13,Serie B,Spezia Calcio,13,51,42,12,15,15,52,58,-6,none,,RSSSF + Wikipedia + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2013.html,2026-08-10
