season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2014/15,Serie A,Juventus,1,87,38,26,9,3,72,24,48,champion|champions_league,Campione d Italia 2014/15 e qualificata alla fase a gironi di Champions League.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Roma,2,70,38,19,13,6,54,31,23,champions_league,Qualificata alla fase a gironi di Champions League.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Lazio,3,69,38,21,6,11,71,38,33,champions_league_qualifying,Qualificata al turno preliminare/play-off di Champions League.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Fiorentina,4,64,38,18,10,10,61,46,15,europa_league,Qualificata all Europa League.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Napoli,5,63,38,18,9,11,70,54,16,europa_league,Qualificata all Europa League.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Genoa,6,59,38,16,11,11,62,47,15,europa_league_denied,"Sesto posto sportivo; licenza UEFA negata/ricorso ritirato, posto europeo passato alla Sampdoria senza modificare il rank.",RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Sampdoria,7,56,38,13,17,8,48,42,6,europa_league,Settima in classifica; subentrata in Europa League dopo la mancata licenza UEFA del Genoa.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Inter,8,55,38,14,13,11,59,48,11,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Torino,9,54,38,14,12,12,48,45,3,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Milan,10,52,38,13,13,12,56,50,6,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Palermo,11,49,38,12,13,13,53,55,-2,none,Pari punti con Sassuolo; rank ufficiale mantenuto secondo fonte.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Sassuolo,12,49,38,12,13,13,49,57,-8,none,"Dodicesimo posto: 49 punti, 38 gare, 12 vittorie, 13 pareggi, 13 sconfitte, 49 gol fatti e 57 subiti.",RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Hellas Verona,13,46,38,11,13,14,49,65,-16,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Chievo Verona,14,43,38,10,13,15,28,41,-13,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Empoli,15,42,38,8,18,12,46,52,-6,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Udinese,16,41,38,10,11,17,43,56,-13,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Atalanta,17,37,38,7,16,15,38,57,-19,none,,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Cagliari,18,34,38,8,10,20,48,68,-20,relegated,Retrocessa in Serie B.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Cesena,19,24,38,4,12,22,36,73,-37,relegated,Retrocessa in Serie B.,RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
2014/15,Serie A,Parma,20,19,38,6,8,24,33,75,-42,relegated|points_deduction|excluded|not_admitted,"Ultima e retrocessa sul campo; 26 punti sportivi teorici, 7 punti di penalizzazione per ragioni finanziarie, 19 punti ufficiali. Club dichiarato fallito e non ammesso alla Serie B successiva, ripartenza dai dilettanti.",RSSSF + Soccerway cross-check,https://www.rsssf.org/tablesi/ital2015.html,2026-08-10
