season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2008/09,Serie B,Bari,1,80,42,22,14,6,65,35,30,champion|promoted,Campione Serie B 2008/09; promosso direttamente in Serie A.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Parma,2,76,42,19,19,4,65,34,31,promoted,Promosso direttamente in Serie A.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Livorno,3,68,42,16,20,6,64,40,24,playoff|playoff_winner|promoted,Terzo in regular season; vince i playoff promozione contro Grosseto e Brescia; promosso in Serie A.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Brescia,4,67,42,18,13,11,54,40,14,playoff|playoff_eliminated,Partecipa ai playoff; supera Empoli in semifinale e perde la finale contro Livorno.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Empoli,5,67,42,18,13,11,53,44,9,playoff|playoff_eliminated,Partecipa ai playoff; eliminato in semifinale dal Brescia.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Grosseto,6,64,42,18,10,14,64,66,-2,playoff|playoff_eliminated,Partecipa ai playoff; eliminato in semifinale dal Livorno.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Sassuolo,7,60,42,15,15,12,57,50,7,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Triestina,8,59,42,16,11,15,52,47,5,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,AlbinoLeffe,9,58,42,15,13,14,49,49,0,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Piacenza,10,55,42,14,13,15,48,48,0,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Frosinone,11,53,42,13,14,15,48,53,-5,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Vicenza,12,52,42,13,13,16,44,41,3,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Mantova,13,52,42,12,16,14,41,46,-5,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Salernitana,14,51,42,14,9,19,46,56,-10,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Modena,15,51,42,13,12,17,54,63,-9,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Ascoli,16,51,42,14,10,18,37,48,-11,points_deduction,Sconta 1 punto di penalizzazione.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Cittadella,17,50,42,11,17,14,42,43,-1,none,,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Rimini,18,50,42,13,11,18,43,56,-13,playout|playout_loser|relegated,Partecipa ai playout contro Ancona; perde lo spareggio salvezza e retrocede.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Ancona,19,49,42,14,7,21,54,66,-12,playout|playout_winner,Partecipa ai playout salvezza contro Rimini e si salva.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Pisa,20,48,42,12,12,18,45,55,-10,relegated,Retrocesso dopo la regular season.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Avellino,21,40,42,9,15,18,41,61,-20,relegated|points_deduction,Retrocesso dopo la regular season; sconta 2 punti di penalizzazione.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
2008/09,Serie B,Treviso,22,35,42,7,15,20,37,62,-25,relegated|points_deduction,Retrocesso dopo la regular season; sconta 1 punto di penalizzazione.,calcio-seriea.net + Soccerway/Wikipedia cross-check,http://calcio-seriea.net/risultati/2008/6346/,2026-08-10
