season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2011/12,Serie B,Delfino Pescara 1936,1,83,42,26,5,11,90,55,35,champion|promoted,Campione Serie B 2011/12; promosso direttamente in Serie A.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,Torino F.C.,2,83,42,24,11,7,57,28,29,promoted,Promosso direttamente in Serie A.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,U.S. Sassuolo Calcio,3,80,42,22,14,6,57,33,24,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminato dalla Sampdoria in semifinale.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,Hellas Verona F.C.,4,78,42,23,9,10,60,41,19,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminato dal Varese in semifinale.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,A.S. Varese 1910,5,71,42,20,11,11,57,41,16,playoff|playoff_eliminated,Partecipa ai playoff promozione; supera il Verona in semifinale e perde la finale contro la Sampdoria.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,U.C. Sampdoria,6,67,42,17,16,9,53,34,19,playoff|playoff_winner|promoted,Partecipa ai playoff promozione e li vince: supera Sassuolo in semifinale e Varese in finale; promosso in Serie A.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,Calcio Padova,7,63,42,18,9,15,56,58,-2,none,,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,Brescia Calcio,8,57,42,15,12,15,48,50,-2,none,,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,S.S. Juve Stabia,9,57,42,16,13,13,53,49,4,points_deduction,Punti sportivi teorici 61; punti ufficiali 57 dopo penalizzazione finale di 4 punti. Penalità composta da 1 punto amministrativo e 3 punti per illecito nella gara Juve Stabia-Sorrento 2008/09 dopo riduzione della sanzione iniziale.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,Reggina Calcio,10,55,42,14,13,15,63,59,4,none,,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,F.C. Crotone,11,52,42,13,15,14,60,58,2,points_deduction,Punti sportivi teorici 54; punti ufficiali 52 dopo penalizzazione di 2 punti per inadempienze amministrative su contributi/ritenute.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,Modena F.C.,12,52,42,12,16,14,50,58,-8,none,,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
2011/12,Serie B,A.S. Bari,13,50,42,14,14,14,47,48,-1,points_deduction,Punti sportivi teorici 56; punti ufficiali 50 dopo penalizzazione di 6 punti per mancata attestazione del pagamento di emolumenti e ritenute nei termini.,RSSSF + Wikipedia + calcio-seriea.net cross-check,https://www.rsssf.org/tablesi/ital2012.html,2026-08-10
