season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2017/18,Serie A,Juventus,1,95,38,30,5,3,86,24,62,champion|champions_league,Campione d Italia 2017/18 e qualificata alla fase a gironi di Champions League; vinse anche la Coppa Italia.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Napoli,2,91,38,28,7,3,77,29,48,champions_league,Qualificata alla fase a gironi di Champions League nella nuova distribuzione UEFA con quattro italiane ai gironi.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Roma,3,77,38,23,8,7,61,28,33,champions_league,Qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Inter,4,72,38,20,12,6,66,30,36,champions_league,"Qualificata alla fase a gironi di Champions League. Pari punti con Lazio ma avanti negli scontri diretti: 0-0 e vittoria Inter 3-2, totale 4 punti Inter e 1 Lazio; non ordinata per differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Lazio,5,72,38,21,9,8,89,49,40,europa_league,Qualificata all Europa League. Pari punti con Inter ma dietro per scontri diretti: 1 punto contro 4.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Milan,6,64,38,18,10,10,56,42,14,europa_league,"Qualificata all Europa League: Juventus vinse la Coppa Italia ed era gia qualificata in Champions League, facendo scorrere i posti europei. Ban UEFA/FFP iniziale poi annullato dal CAS, quindi partecipazione sportiva mantenuta.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Atalanta,7,60,38,16,12,10,57,39,18,europa_league_qualifying,Qualificata ai preliminari/qualificazioni di Europa League per scorrimento del posto di Coppa Italia.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Fiorentina,8,57,38,16,9,13,54,46,8,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Torino,9,54,38,13,15,10,54,46,8,none,"Pari punti con Sampdoria; scontri diretti pari per punti e reti, Torino avanti per migliore differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Sampdoria,10,54,38,16,6,16,56,60,-4,none,"Pari punti con Torino; scontri diretti pari per punti e reti, Sampdoria dietro per differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Sassuolo,11,43,38,11,10,17,29,59,-30,none,"Undicesimo posto: 43 punti, 11 vittorie, 10 pareggi, 17 sconfitte, 29 gol fatti e 59 subiti.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Genoa,12,41,38,11,8,19,33,43,-10,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Chievo Verona,13,40,38,10,10,18,36,59,-23,none,"Pari punti con Udinese; Chievo avanti per scontri diretti, 4 punti contro 1.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Udinese,14,40,38,12,4,22,48,63,-15,none,"Pari punti con Chievo; Udinese dietro per scontri diretti, 1 punto contro 4.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Bologna,15,39,38,11,6,21,40,52,-12,none,"Pari punti con Cagliari; scontri diretti pari per punti e reti, Bologna avanti per migliore differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Cagliari,16,39,38,11,6,21,33,61,-28,none,"Pari punti con Bologna; scontri diretti pari per punti e reti, Cagliari dietro per differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,SPAL,17,38,38,8,14,16,39,59,-20,none,Salva al 17° posto.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Crotone,18,35,38,9,8,21,40,66,-26,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Hellas Verona,19,25,38,7,4,27,30,78,-48,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
2017/18,Serie A,Benevento,20,21,38,6,3,29,33,84,-51,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2018.html,2026-08-10
