season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2010/11,Serie B,Atalanta B.C.,1,79,42,22,13,7,61,35,26,champion|promoted,Campione Serie B 2010/11; promosso direttamente in Serie A.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,A.C. Siena,2,77,42,21,14,7,67,35,32,promoted,Promosso direttamente in Serie A.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Novara Calcio,3,70,42,18,16,8,63,38,25,playoff|playoff_winner|promoted,Partecipa ai playoff promozione e li vince: supera la Reggina in semifinale per miglior posizione in regular season e batte il Padova in finale; promosso in Serie A.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,A.S. Varese 1910,4,68,42,16,20,6,51,34,17,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminato dal Padova in semifinale.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Calcio Padova,5,62,42,15,17,10,63,48,15,playoff|playoff_eliminated,Partecipa ai playoff promozione; supera il Varese in semifinale e perde la finale contro il Novara.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Reggina Calcio,6,61,42,15,16,11,46,40,6,playoff|playoff_eliminated,Partecipa ai playoff promozione; eliminata dal Novara in semifinale per peggior posizione in regular season dopo parità aggregata.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,A.S. Livorno Calcio,7,59,42,15,14,13,49,46,3,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Torino F.C.,8,58,42,15,13,14,49,48,1,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Empoli F.C.,9,57,42,13,18,11,46,39,7,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Modena F.C.,10,55,42,12,19,11,46,51,-5,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,F.C. Crotone,11,54,42,13,15,14,45,50,-5,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Vicenza Calcio,12,54,42,15,9,18,44,54,-10,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Delfino Pescara 1936,13,53,42,14,11,17,44,48,-4,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,A.S. Cittadella,14,51,42,12,15,15,50,54,-4,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,U.S. Grosseto F.C.,15,51,42,12,15,15,43,50,-7,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,U.S. Sassuolo Calcio,16,51,42,13,12,17,42,46,-4,none,,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Ascoli Calcio 1898,17,50,42,14,14,14,44,48,-4,points_deduction,Punti sportivi teorici 56; punti ufficiali 50 dopo penalizzazione complessiva di 6 punti per inadempienze Co.Vi.Soc./federali. Transfermarkt riporta 49 e -7: conflitto registrato e risolto in favore di RSSSF/Wikipedia e fonte contemporanea Repubblica.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,U.C. AlbinoLeffe,18,49,42,13,10,19,55,66,-11,playout|playout_winner,Partecipa al playout retrocessione contro Piacenza; resta in Serie B per miglior posizione in regular season dopo 2-2 aggregato.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Piacenza F.C.,19,46,42,11,13,18,50,63,-13,playout|playout_loser|relegated,Partecipa al playout retrocessione contro AlbinoLeffe; retrocede per peggior posizione in regular season dopo 2-2 aggregato.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,U.S. Triestina Calcio,20,40,42,8,16,18,34,57,-23,relegated,Retrocesso direttamente sul campo.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Portogruaro Summaga,21,40,42,10,10,22,39,63,-24,relegated,Retrocesso direttamente sul campo.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
2010/11,Serie B,Frosinone Calcio,22,38,42,8,14,20,46,64,-18,relegated,Retrocesso direttamente sul campo.,RSSSF + WorldFootball + Wikipedia cross-check,https://www.rsssf.org/tablesi/ital2011.html,2026-08-10
