season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2015/16,Serie A,Juventus,1,91,38,29,4,5,75,20,55,champion|champions_league,Campione d Italia 2015/16 e qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Napoli,2,82,38,25,7,6,80,32,48,champions_league,Qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Roma,3,80,38,23,11,4,83,41,42,champions_league_qualifying,Qualificata al turno preliminare/play-off di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Inter,4,67,38,20,7,11,50,38,12,europa_league,Qualificata all Europa League tramite piazzamento in campionato.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Fiorentina,5,64,38,18,10,10,60,42,18,europa_league,Qualificata all Europa League tramite piazzamento in campionato.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Sassuolo,6,61,38,16,13,9,49,40,9,europa_league_qualifying,"Sesto posto storico: 61 punti, 38 gare, 16 vittorie, 13 pareggi, 9 sconfitte, 49 gol fatti e 40 subiti. Prima qualificazione europea del Sassuolo: Juventus vinse la Coppa Italia contro il Milan ed era gia qualificata in Champions League, quindi il posto europeo legato alla coppa passo alla sesta classificata; Sassuolo entro in UEFA Europa League 2016/17 dal terzo turno di qualificazione.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Milan,7,57,38,15,12,11,49,43,6,none,"Settimo in campionato; avrebbe ottenuto un posto europeo vincendo la Coppa Italia, ma perse la finale contro la Juventus.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Lazio,8,54,38,15,9,14,52,52,0,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Chievo Verona,9,50,38,13,11,14,43,45,-2,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Empoli,10,46,38,12,10,16,40,49,-9,none,Pari punti con Genoa; rank ufficiale mantenuto secondo fonte.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Genoa,11,46,38,13,7,18,45,48,-3,none,Pari punti con Empoli; rank ufficiale mantenuto secondo fonte.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Torino,12,45,38,12,9,17,52,55,-3,none,Pari punti con Atalanta; rank ufficiale mantenuto secondo fonte.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Atalanta,13,45,38,11,12,15,41,47,-6,none,Pari punti con Torino; rank ufficiale mantenuto secondo fonte.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Bologna,14,42,38,11,9,18,33,45,-12,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Sampdoria,15,40,38,10,10,18,48,61,-13,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Palermo,16,39,38,10,9,19,38,65,-27,none,Pari punti con Udinese; rank ufficiale mantenuto secondo fonte.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Udinese,17,39,38,10,9,19,35,60,-25,none,Pari punti con Palermo; rank ufficiale mantenuto secondo fonte.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Carpi,18,38,38,9,11,18,37,57,-20,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Frosinone,19,31,38,8,7,23,35,76,-41,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
2015/16,Serie A,Hellas Verona,20,28,38,5,13,20,34,63,-29,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2016.html,2026-08-10
