player_name,field,statscrew_value,worldfootball_value,selected_value,resolution,status,evidence_url,note
Mauro Minelli,minutes,3588,3595,3595,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Luigi Riccio,minutes,3319,3327,3327,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Francesco Magnanelli,minutes,3243,3247,3247,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Alessandro Noselli,minutes,2983,3015,3015,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Alessandro Noselli,position,,F,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Tiziano Polenghi,minutes,2690,2711,2711,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Jonathan Rossini,minutes,2612,2613,2613,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Gianluigi Bianco,minutes,2112,2119,2119,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Gianluigi Bianco,position,"D, M",D,D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Daniele Martinetti,minutes,,1991,1991,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Daniele Martinetti,position,,F,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Emiliano Salvetti,minutes,1858,1870,1870,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Emiliano Salvetti,position,,M,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Daniele Quadrini,minutes,1874,1844,1844,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Daniele Quadrini,position,"M, F",F,F,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Massimiliano Fusani,minutes,1769,1773,1773,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Massimiliano Fusani,position,,M,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Gaetano Masucci,minutes,1553,1636,1636,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Marco Gorzegno,minutes,1620,1630,1630,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Marco Gorzegno,position,D,M,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Marco Piccioni,minutes,,1619,1619,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Riccardo Zampagna,minutes,1265,1267,1267,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Carl Valeri,minutes,1030,1049,1049,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Nicolò Consolini,minutes,,931,931,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Nicolò Consolini,position,,D,D,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Nicola Donazzan,minutes,,706,706,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Mario Titone,minutes,456,459,459,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Mario Titone,position,F,M,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Attila Filkor,minutes,197,199,199,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Giorgio Schiavini,minutes,69,70,70,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Mariano Romano,position,,M,M,WorldFootball selected for match-derived field; StatsCrew retained only for assists.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Complete Serie B 2009/2010 table verified in an interactive browser.
Milan Jirasek,identity,Milan Jirásek,Milan Jirásek,Milan Jirasek,Resolved to the canonical identity already present in the local database.,resolved,https://www.worldfootball.net/teams/te13744/sassuolo-calcio/statistics-matches/co113/italy-serie-b/se1558/2009-2010/,Accent-normalized alias; prevents creation of a duplicate player.
