season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2021/22,Serie A,Milan,1,86,38,26,8,4,69,31,38,champion|champions_league,Campione d Italia 2021/22 e qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Inter,2,84,38,25,9,4,84,32,52,champions_league,Qualificata alla fase a gironi di Champions League; vincitrice della Coppa Italia 2021/22.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Napoli,3,79,38,24,7,7,74,31,43,champions_league,Qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Juventus,4,70,38,20,10,8,57,37,20,champions_league,Qualificata alla fase a gironi di Champions League.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Lazio,5,64,38,18,10,10,77,58,19,europa_league,Qualificata alla fase a gironi di Europa League tramite piazzamento in campionato.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Roma,6,63,38,18,9,11,59,43,16,europa_league,"Qualificata all Europa League tramite piazzamento in campionato dopo scorrimento del posto di Coppa Italia; vinse anche la UEFA Europa Conference League 2021/22, titolo da annotare senza alterare il rank.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Fiorentina,7,62,38,19,5,14,59,51,8,conference_league_qualifying,"Qualificata alla UEFA Europa Conference League qualifying/play-off tramite piazzamento, dopo scorrimento dei posti UEFA causato dalla Coppa Italia vinta dall Inter gia qualificata in Champions League.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Atalanta,8,59,38,16,11,11,65,48,17,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Hellas Verona,9,53,38,14,11,13,65,59,6,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Torino,10,50,38,13,11,14,46,41,5,none,Pari punti con Sassuolo; Torino avanti per scontri diretti: Sassuolo-Torino 0-1 e Torino-Sassuolo 1-1.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Sassuolo,11,50,38,13,11,14,64,66,-2,none,"Undicesimo posto: 50 punti, 13 vittorie, 11 pareggi, 14 sconfitte, 64 gol fatti e 66 subiti. Pari punti con Torino ma dietro per scontri diretti.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Udinese,12,47,38,11,14,13,61,58,3,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Bologna,13,46,38,12,10,16,44,55,-11,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Empoli,14,41,38,10,11,17,50,70,-20,none,,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Sampdoria,15,36,38,10,6,22,46,63,-17,none,"Pari punti con Spezia; scontri diretti pari per punti e gol, Sampdoria avanti per migliore differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Spezia,16,36,38,10,6,22,41,71,-30,none,"Pari punti con Sampdoria; scontri diretti pari per punti e gol, Spezia dietro per differenza reti generale.",RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Salernitana,17,31,38,7,10,21,33,78,-45,none,Salva al 17° posto.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Cagliari,18,30,38,6,12,20,34,68,-34,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Genoa,19,28,38,4,16,18,27,60,-33,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
2021/22,Serie A,Venezia,20,27,38,6,9,23,34,69,-35,relegated,Retrocessa in Serie B.,RSSSF + WorldFootball cross-check,https://www.rsssf.org/tablesi/ital2022.html,2026-08-10
