season,competition,team_name,rank,points,played,wins,draws,losses,goals_for,goals_against,goals_diff,status,description,source_provider,source_url,last_verified_at
2025/26,Serie A,Inter,1,87,38,27,6,5,89,35,54,champion,Campione d'Italia 2025/26.,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Napoli,2,76,38,23,7,8,58,36,22,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Roma,3,73,38,23,4,11,59,31,28,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Como,4,71,38,20,11,7,65,29,36,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Milan,5,70,38,20,10,8,53,35,18,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Juventus,6,69,38,19,12,7,61,34,27,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Atalanta,7,59,38,15,14,9,51,36,15,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Bologna,8,56,38,16,8,14,49,46,3,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Lazio,9,54,38,14,12,12,41,40,1,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Udinese,10,50,38,14,8,16,45,48,-3,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,U.S. Sassuolo Calcio,11,49,38,14,7,17,46,50,-4,none,Undicesimo posto nella stagione del ritorno in Serie A.,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Torino,12,45,38,12,9,17,44,63,-19,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Parma,13,45,38,11,12,15,28,46,-18,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Cagliari,14,43,38,11,10,17,40,53,-13,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Fiorentina,15,42,38,9,15,14,41,50,-9,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Genoa,16,41,38,10,11,17,41,51,-10,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Lecce,17,38,38,10,8,20,28,50,-22,none,,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Cremonese,18,34,38,8,10,20,32,57,-25,relegated,Retrocessa in Serie B.,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Hellas Verona,19,21,38,3,12,23,25,61,-36,relegated,Retrocessa in Serie B.,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
2025/26,Serie A,Pisa,20,18,38,2,12,24,26,71,-45,relegated,Retrocessa in Serie B.,Lega Serie A + Sky Sport/Opta + RSSSF,https://images.legaseriea.it/image/private/fl_attachment/prd/qh1hx4kdoeqm5bxyn9lo.pdf,2026-08-13
